Customer ID,Credit Limit,Gender,Education,Marriage Status,Age,Bill_Amount1,Bill_Amount2,Bill_Amount3,Pay_Amount1,Pay_Amount2,Pay_Amount3,Default payment next month
1,20000,female,univeresity,married,24,3913,3102,689,0,689,0,1
2,120000,female,univeresity,single,26,2682,1725,2682,0,1000,1000,1
3,90000,female,univeresity,single,34,29239,14027,13559,1518,1500,1000,0
4,50000,female,univeresity,married,37,46990,48233,49291,2000,2019,1200,0
5,50000,male,univeresity,married,57,8617,5670,35835,2000,36681,10000,0
6,50000,male,post-graduate,single,37,64400,57069,57608,2500,1815,657,0
7,500000,male,post-graduate,single,29,367965,412023,445007,55000,40000,38000,0
8,100000,female,univeresity,single,23,11876,380,601,380,601,0,0
9,140000,female,high school,married,28,11285,14096,12108,3329,0,432,0
10,20000,male,high school,single,35,0,0,0,0,0,0,0
11,200000,female,high school,single,34,11073,9787,5535,2306,12,50,0
12,260000,female,post-graduate,single,51,12261,21670,9966,21818,9966,8583,0
13,630000,female,univeresity,single,41,12137,6500,6500,1000,6500,6500,0
14,70000,male,univeresity,single,30,65802,67369,65701,3200,0,3000,1
15,250000,male,post-graduate,single,29,70887,67060,63561,3000,3000,3000,0
16,50000,female,high school,married,23,50614,29173,28116,0,1500,1100,0
17,20000,male,post-graduate,single,24,15376,18010,17428,3200,0,1500,1
18,320000,male,post-graduate,married,49,253286,246536,194663,10358,10000,75940,0
19,360000,female,post-graduate,married,49,0,0,0,0,0,0,0
20,180000,female,post-graduate,single,29,0,0,0,0,0,0,0
21,130000,female,high school,single,39,38358,27688,24489,3000,1537,1000,0
22,120000,female,univeresity,married,39,316,316,316,316,316,0,1
23,70000,female,univeresity,single,26,41087,42445,45020,2007,3582,0,1
24,450000,female,post-graduate,married,40,5512,19420,1473,19428,1473,560,1
25,90000,male,post-graduate,single,23,4744,7070,0,5757,0,5398,0
26,50000,male,high school,single,23,47620,41810,36023,1973,1426,1001,0
27,60000,male,post-graduate,single,27,-109,-425,259,0,1000,0,1
28,50000,female,high school,single,30,22541,16138,17163,1300,1300,1000,0
29,50000,female,high school,married,47,650,3415,3416,3415,3421,2044,0
30,50000,male,post-graduate,single,26,15329,16575,17496,1500,1500,1000,0
31,230000,female,post-graduate,single,27,16646,17265,13266,17270,13281,15339,0
32,50000,male,univeresity,single,33,30518,29618,22102,1718,1500,1000,1
33,100000,male,post-graduate,single,32,93036,84071,82880,3023,3511,3302,0
34,500000,female,univeresity,married,54,10929,4152,22722,4152,22827,7521,0
