House ID,City,House Area (sqm),No. of Bedrooms,No. of Toilets,Stories,Renovation Status,Price ($)
0,Chicago,742,4,2,3,furnished,1330000
1,Denver,896,4,4,4,furnished,1225000
2,Chicago,996,3,2,2,semi-furnished,1225000
3,Seattle,750,4,2,2,furnished,1221500
4,New York,742,4,1,2,furnished,1141000
5,Boston,750,3,3,1,semi-furnished,1085000
6,Denver,858,4,3,4,semi-furnished,1015000
7,New York,1620,5,3,2,unfurnished,1015000
8,Denver,810,4,1,2,furnished,987000
9,Seattle,575,3,2,4,unfurnished,980000
10,Boston,1320,3,1,2,furnished,980000
11,Boston,600,4,3,2,semi-furnished,968100
12,Seattle,655,4,2,2,semi-furnished,931000
13,Boston,350,4,2,2,furnished,924000
14,Chicago,780,3,2,2,semi-furnished,924000
15,Denver,600,4,1,2,semi-furnished,910000
16,New York,660,4,2,2,unfurnished,910000
17,New York,850,3,2,4,furnished,896000
18,New York,460,3,2,2,furnished,889000
19,Chicago,642,3,2,2,semi-furnished,885500
20,Chicago,432,3,1,2,semi-furnished,875000
21,Seattle,715.5,3,2,1,unfurnished,868000
22,Seattle,805,3,1,1,furnished,864500
23,Seattle,456,3,2,2,furnished,864500
24,Seattle,880,3,2,2,furnished,857500
25,Boston,654,4,2,2,furnished,854000
26,Seattle,600,3,2,4,semi-furnished,846300
27,Boston,887.5,3,1,1,semi-furnished,840000
28,Denver,795,5,2,2,unfurnished,840000
29,New York,550,4,2,2,semi-furnished,840000
30,Boston,747.5,3,2,4,unfurnished,840000
31,Seattle,700,3,1,4,semi-furnished,840000
32,Denver,488,4,2,2,furnished,829500
33,New York,596,3,3,2,unfurnished,819000
34,Denver,684,5,1,2,furnished,812000
35,Chicago,700,3,2,4,furnished,808094
36,Seattle,748.2,3,2,3,furnished,804300
37,New York,900,4,2,4,furnished,798000
38,Seattle,600,3,1,4,unfurnished,796250
39,Chicago,600,4,2,4,semi-furnished,791000
40,New York,655,3,1,2,furnished,787500
41,Boston,636,3,2,4,furnished,784000
42,New York,648,3,2,4,unfurnished,770000
43,Boston,600,4,2,4,semi-furnished,770000
44,New York,600,4,2,4,furnished,756000
45,Seattle,600,3,2,3,semi-furnished,756000
46,New York,600,3,2,4,furnished,752500
47,Denver,660,3,1,4,furnished,749000
48,Denver,430,3,2,2,unfurnished,745500
49,Boston,744,3,2,1,semi-furnished,742000
50,Chicago,744,3,2,4,unfurnished,742000
51,Chicago,632.5,3,1,4,unfurnished,742000
52,New York,600,4,2,4,furnished,735000
53,Boston,515,3,2,4,semi-furnished,735000
54,Boston,600,3,2,2,semi-furnished,735000
55,Denver,600,3,1,2,unfurnished,735000
56,New York,1144,4,1,2,semi-furnished,734300
57,Boston,900,4,2,4,furnished,724500
58,New York,768,4,2,4,semi-furnished,721000
59,Boston,600,3,2,4,furnished,721000
60,Boston,600,3,2,2,semi-furnished,714000
61,Boston,888,2,1,1,semi-furnished,707000
62,Chicago,624,4,2,2,furnished,707000
63,Seattle,636,4,2,3,furnished,703500
64,New York,1117.5,3,1,1,furnished,700000
65,Seattle,888,3,2,2,furnished,693000
66,Denver,1320,2,1,1,furnished,693000
67,Denver,770,3,2,1,unfurnished,689500
68,Seattle,600,3,1,1,furnished,686000
69,Boston,1209,4,2,2,furnished,679000
70,Boston,400,3,2,2,semi-furnished,679000
71,Boston,600,4,2,4,unfurnished,675500
72,New York,502,3,1,4,unfurnished,672000
73,New York,660,2,2,4,furnished,668500
74,Denver,404,3,1,2,furnished,665000
75,Boston,426,4,2,2,semi-furnished,665000
76,New York,642,3,2,3,furnished,665000
77,Denver,650,3,2,3,furnished,665000
78,Seattle,570,3,1,1,furnished,665000
79,New York,600,3,2,3,furnished,665000
80,New York,600,3,1,2,semi-furnished,662900
81,New York,400,3,2,2,semi-furnished,661500
82,Seattle,1050,3,2,1,furnished,661500
83,Chicago,600,3,2,4,semi-furnished,658000
84,Chicago,376,3,1,2,semi-furnished,651000
85,New York,825,3,2,3,furnished,651000
86,Denver,667,3,1,3,unfurnished,651000
87,New York,396,3,1,1,semi-furnished,647500
