,ServiceNo,Operator,Direction,Category,OriginCode,DestinationCode,AM_Peak_Freq,AM_Offpeak_Freq,PM_Peak_Freq,PM_Offpeak_Freq,LoopDesc
0,118,GAS,1,TRUNK,65009,97009,06-08,08-15,10-12,11-15,
1,118,GAS,2,TRUNK,97009,65009,10,10-12,05-11,10-15,
2,118A,GAS,1,TRUNK,65199,96119,14-16,-,-,-,
3,118B,GAS,1,TRUNK,96111,65191,-,-,30,-,
4,119,GAS,1,TRUNK,65009,65009,16-08,18-12,17-12,15-17,Hougang St 21
5,12,GAS,1,TRUNK,77009,10499,9,09-14,9-10,11-13,
6,12,GAS,2,TRUNK,10499,77009,10,08-15,08-14,10-14,
7,12e,GAS,1,EXPRESS,77009,10499,20-30,30,20-30,20-30,
8,12e,GAS,2,EXPRESS,10499,77009,20-30,20-30,20-30,20-30,
9,136,GAS,1,TRUNK,54009,65009,09-13,10-13,10-15,15-19,
10,136,GAS,2,TRUNK,65009,54009,08-15,11-16,10-11,17-20,
11,15,GAS,1,TRUNK,77009,77009,04-09,03-13,07-15,13-16,Marine Parade Rd
12,15A,GAS,1,TRUNK,77009,83109,09-17,110,-,-,Marine Parade Rd
13,17,GAS,1,TRUNK,77009,84009,8-11,10-12,10-11,11-15,
14,17,GAS,2,TRUNK,84009,77009,5-11,5-12,5-12,5-12,
15,17A,GAS,1,TRUNK,84009,84591,04-22,10-46,10-22,22-24,Bedok Nth Dr
16,2,GAS,1,TRUNK,99009,10499,10,09-16,09-18,14-18,
17,2,GAS,2,TRUNK,10499,99009,8-12,09-17,9-12,12-18,
18,2A,GAS,1,TRUNK,10499,85091,18-26,-,17-20,-,
19,3,GAS,1,TRUNK,75009,65009,7-11,09-14,8-09,12-14,
20,3,GAS,2,TRUNK,65009,75009,8-10,09-15,9-12,12-17,
21,34,GAS,1,TRUNK,65009,65009,04-09,05-14,09-13,12-14,PTB2 Basement
22,34A,GAS,1,TRUNK,65009,76059,18-44,26-39,00-00,00-00,PTB2 Basement
23,34B,GAS,1,TRUNK,75359,75351,4-09,04-15,09-13,11-14,
24,354,GAS,1,FEEDER,77009,77009,06-08,07-09,07-08,08-15,Jln Loyang Besar
25,358,GAS,1,TOWNLINK,77009,77009,05-07,07-08,05-07,05-10,Pasir Ris Dr 4
26,359,GAS,1,TOWNLINK,77009,77009,05-08,07-10,05-08,05-13,Pasir Ris St 11
27,36,GAS,1,TRUNK,95129,95129,08,08-11,08-10,08-12,Tomlinson Rd
28,36A,GAS,1,TRUNK,95129,09191,-,-,-,11-12,Tomlinson Rd
29,36B,GAS,1,TRUNK,93049,93199,08-08,09-283,09-09,-,Tomlinson Rd
30,381,GAS,1,FEEDER,65009,65009,10-12,10-12,10-12,10-15,Punggol East
31,382G,GAS,1,FEEDER,65009,65009,08-10,08-10,08-10,08-12,Sumang Walk
32,382W,GAS,1,FEEDER,65009,65009,08-10,08-10,08-10,08-12,Sumang Walk
33,386,GAS,1,FEEDER,65009,65009,07-11,15-10,07-11,15-07,Punggol Ctrl
34,386A,GAS,1,FEEDER,65009,65371,0-0,0-0,22-40,25-30,
35,3A,GAS,1,TRUNK,75009,77331,00-00,12-75,8-37,12-124,
36,3B,GAS,1,TRUNK,77289,77009,15-16,00-00,00-00,00-00,
37,403,GAS,1,TRUNK,77009,77009,09-13,13-19,14-19,14-15,Pasir Ris Rd
38,43,GAS,1,TRUNK,65009,94009,09,08-16,13-16,15-16,
39,43,GAS,2,TRUNK,94009,65009,14,10-17,10-17,13-18,
40,43M,GAS,1,TRUNK,65009,65009,07-10,08-17,04-15,13-16,S'goon Ctrl
41,518,GAS,1,EXPRESS,77009,77009,17-20,15-20,15-20,13-20,Bayfront Ave
42,518A,GAS,1,EXPRESS,77009,03519,30,-,-,-,
43,6,GAS,1,TRUNK,77009,77009,07-08,07-17,07-08,08,Loyang Cres
44,62,GAS,1,TRUNK,65009,65009,08-09,17-08,14-08,17-12,Sims Ave
45,62A,GAS,1,TRUNK,65009,81089,00-00,00-00,28,28,Sims Ave
46,661,GAS,1,EXPRESS,78111,03391,20,-,-,-,
47,661,GAS,2,EXPRESS,03539,78119,15,-,-,-,
48,68,GAS,1,TRUNK,77009,77009,15,15,15,15,Tampines Ctrl 1
49,82,GAS,1,TRUNK,65009,65009,13-15,15-12,17-12,14-18,S'goon Ctrl
50,83,GAS,1,TRUNK,65009,65009,10-13,09-14,10-10,12-16,Sengkang Sq
51,84,GAS,1,TRUNK,65009,65009,10,10,10,10-15,Punggol Rd
52,85,GAS,1,TRUNK,65009,59009,10-16,10-16,10,11-18,
53,85,GAS,2,TRUNK,59009,65009,10-15,10-16,10,16-18,
54,85A,GAS,1,TRUNK,59009,67441,10-14,10-15,9-10,11-18,
55,10,SBST,1,TRUNK,75009,16009,08-09,06-17,10-15,11-18,
56,10,SBST,2,TRUNK,16009,75009,10-11,10-16,09-13,12-20,
57,100,SBST,1,TRUNK,66009,11009,06-12,07-17,06-15,12-24,
58,100,SBST,2,TRUNK,11009,66009,06-09,06-13,08-13,13-15,
59,100A,SBST,1,TRUNK,66009,81089,16-36,-,15-26,20-20,
60,101,SBST,1,TRUNK,66009,66009,08-09,07-13,08-09,08-14,Buangkok Link
61,102,SBST,1,TRUNK,64009,64009,10-11,10-13,11-12,11-15,Seletar Aerospace Avenue
62,103,SBST,1,TRUNK,66009,59009,08-11,09-15,10-12,10-15,
63,103,SBST,2,TRUNK,59009,66009,09-11,09-16,10-10,14-17,
64,105,SBST,1,TRUNK,66009,28009,08-11,07-15,09-16,11-16,
65,105,SBST,2,TRUNK,28009,66009,07-15,08-15,09-14,12-14,
66,105B,SBST,1,TRUNK,28009,17179,14-14,-,-,-,
67,107,SBST,1,TRUNK,64009,03239,07-10,09-17,09-17,17-17,
68,107,SBST,2,TRUNK,03239,64009,13-15,09-16,09-10,09-10,
69,107M,SBST,1,TRUNK,64009,64009,14-15,09-17,13-16,13-14,Raffles Blvd
70,109,SBST,1,TRUNK,66009,99009,9-15,08-17,08-20,11-15,
71,109,SBST,2,TRUNK,99009,66009,10-15,09-17,10-13,13-19,
72,109A,SBST,1,TRUNK,66009,64611,-,-,28-28,15-26,
73,10e,SBST,1,EXPRESS,85049,03217,10-14,-,-,-,
74,10e,SBST,2,EXPRESS,03222,85041,-,-,10-10,-,
75,11,SBST,1,TRUNK,80009,80009,15-17,15-19,15-19,15-18,Rhu Cross
76,111,SBST,1,TRUNK,11009,11009,9-10,9-14,11-11,10-14,Temasek Ave
77,112,SBST,1,TRUNK,64009,64009,10-13,10-14,10-13,12-15,Hougang St 92
78,112A,SBST,1,TRUNK,64009,63031,-,-,-,15-15,
79,113,SBST,1,TRUNK,64009,64009,14-15,11-18,16-18,11-17,Upp Paya Lebar Rd
80,113A,SBST,1,TRUNK,63039,63031,-,-,16-21,-,Upp Paya Lebar Rd
81,115,SBST,1,TRUNK,63221,63221,31-31,29-50,32-32,-,Hougang Ave 3
82,116,SBST,1,TRUNK,64009,64009,09-10,10-14,10-10,10-14,S'goon Ctrl
83,117,SBST,1,TRUNK,65009,58009,12-12,12-15,13-13,14-15,
84,117,SBST,2,TRUNK,58009,65009,12-13,13-15,14-15,14-15,
85,117A,SBST,1,TRUNK,59479,59041,13-13,-,-,-,
86,117B,SBST,1,TRUNK,58009,59073,-,-,-,-,
87,120,SBST,1,TRUNK,10499,10499,11-12,12-15,12-13,12-16,Telok Blangah Hts
88,121,SBST,1,TRUNK,10499,10499,10-10,10-13,10-12,10-12,Telok Blangah Rise
89,122,SBST,1,TRUNK,10499,10499,11-13,12-16,13-17,13-17,C'wealth Dr
90,123,SBST,1,TRUNK,10009,14539,10-13,12-15,12-16,14-16,
91,123,SBST,2,TRUNK,14539,10009,11-11,11-15,12-15,14-15,
92,123M,SBST,1,TRUNK,14009,14009,10-14,10-20,12-15,14-15,Tiong Bahru Rd
93,124,SBST,1,TRUNK,52499,14009,06-08,06-10,06-08,06-10,
94,124,SBST,2,TRUNK,14009,52499,05-09,05-10,05-09,07-11,
95,125,SBST,1,TRUNK,52499,52499,11-12,9-18,9-17,15-18,Sims Dr
96,125A,SBST,1,TRUNK,81081,60219,07-13,-,-,-,
97,127,SBST,1,TRUNK,75009,75009,10-10,15-20,10-15,10-20,Tampines Ind Ave 5
98,127A,SBST,1,TRUNK,75009,75281,-,-,-,19-19,
99,128,SBST,1,TRUNK,55009,03239,15-15,-,-,-,
100,128,SBST,2,TRUNK,03239,55009,-,-,15-15,-,
101,129,SBST,1,TRUNK,75019,52499,12-12,15-15,12-15,12-15,
102,129,SBST,2,TRUNK,52499,75019,12-12,15-15,12-15,12-15,
103,13,SBST,1,TRUNK,55509,94009,09-11,08-13,10-14,13-17,
104,13,SBST,2,TRUNK,94009,55509,10-13,08-14,08-11,11-19,
105,130,SBST,1,TRUNK,54009,03239,08-10,10-14,10-16,14-16,
106,130,SBST,2,TRUNK,03239,54009,12-14,10-14,10-14,13-15,
107,130A,SBST,1,TRUNK,54009,53189,10-22,10-42,-,-,
108,131,SBST,1,TRUNK,52499,10009,07-11,09-14,09-10,10-14,
109,131,SBST,2,TRUNK,10009,52499,09-10,09-14,09-10,10-13,
110,131A,SBST,1,TRUNK,52499,03217,21-21,-,-,-,
111,131M,SBST,1,TRUNK,10009,10009,27-33,29-29,24-33,33-33,Bt Purmei Ave
112,132,SBST,1,TRUNK,64009,10009,09-16,08-19,13-19,13-19,
113,132,SBST,2,TRUNK,10009,64009,11-15,10-19,07-14,15-16,
114,133,SBST,1,TRUNK,54009,03239,08-09,09-12,09-12,10-12,
115,133,SBST,2,TRUNK,03239,54009,11-12,08-11,08-09,10-11,
116,134,SBST,1,TRUNK,80289,80289,10-10,10-12,12-12,11-12,Marine Terr
117,135,SBST,1,TRUNK,54009,54009,10-11,09-14,11-17,12-15,Siglap Rd
118,135A,SBST,1,TRUNK,54009,93201,-,-,-,14-14,Siglap Rd
119,137,SBST,1,TRUNK,80289,94009,15-15,15-15,15-15,15-15,
120,137,SBST,2,TRUNK,94009,80289,15-15,15-15,15-15,15-15,
121,137A,SBST,1,TRUNK,84031,84451,15-19,-,-,-,
122,138,SBST,1,TRUNK,54009,54009,10-11,08-11,08-11,08-12,Mandai Lake Rd
123,138A,SBST,1,TRUNK,54009,48131,-,13-14,-,-,Mandai Lake Rd
124,138B,SBST,1,TRUNK,54009,55121,-,-,22-22,14-24,
125,139,SBST,1,TRUNK,52009,10009,08-10,10-15,10-13,13-17,
126,139,SBST,2,TRUNK,10009,52009,10-12,09-16,10-13,12-17,
127,139M,SBST,1,TRUNK,52009,52009,10-19,12-20,10-20,12-18,Jln Bahagia
128,13A,SBST,1,TRUNK,54019,53231,10-19,11-19,-,-,
129,14,SBST,1,TRUNK,84009,17009,09-12,07-16,14-15,10-19,
130,14,SBST,2,TRUNK,17009,84009,12-14,09-16,10-12,13-17,
131,140,SBST,1,TRUNK,80009,80009,14-14,14-15,14-15,14-15,St. Wilfred Rd
132,141,SBST,1,TRUNK,80009,52009,11-13,13-15,14-15,13-15,
133,141,SBST,2,TRUNK,52009,80009,10-12,12-15,11-15,13-15,
134,142,SBST,1,TRUNK,52009,52009,08-09,07-10,08-08,08-11,Potong Pasir Ave 1
135,142A,SBST,1,TRUNK,52009,60209,-,-,-,-,Potong Pasir Ave 1
136,145,SBST,1,TRUNK,52009,11379,06-08,06-14,09-11,11-14,
137,145,SBST,2,TRUNK,11379,52009,07-09,06-11,06-10,12-14,
138,145A,SBST,1,TRUNK,10209,14249,09-24,12-26,-,-,
139,147,SBST,1,TRUNK,64009,17009,06-11,06-18,09-13,07-13,
140,147,SBST,2,TRUNK,17009,64009,07-10,08-14,07-10,09-11,
141,147A,SBST,1,TRUNK,64009,05019,17-23,15-51,-,-,
142,147e,SBST,1,EXPRESS,04239,17009,20-20,20-30,20-30,20-30,
143,147e,SBST,2,EXPRESS,17009,04222,20-30,20-30,20-20,20-30,
144,14A,SBST,1,TRUNK,84009,09059,18-18,14-24,-,-,
145,14e,SBST,1,EXPRESS,84211,09048,12-13,-,-,-,
146,14e,SBST,2,EXPRESS,09048,84219,-,-,12-12,-,
147,150,SBST,1,TRUNK,82009,82009,12-12,13-15,12-13,14-15,Marine Terr
148,151,SBST,1,TRUNK,64009,16009,06-12,06-15,08-10,14-17,
149,151,SBST,2,TRUNK,16009,64009,07-13,07-17,08-09,10-20,
150,151e,SBST,1,EXPRESS,64009,16009,15-15,-,-,-,
151,151e,SBST,2,EXPRESS,16009,64009,-,-,15-15,-,
152,153,SBST,1,TRUNK,10009,64009,10-14,10-16,9-11,15-16,
153,153,SBST,2,TRUNK,64009,10009,10-14,8-15,9-18,15-19,
154,154,SBST,1,TRUNK,22009,82009,05-10,07-19,06-16,09-19,
155,154,SBST,2,TRUNK,82009,22009,09-13,06-14,06-11,08-15,
156,154A,SBST,1,TRUNK,21551,28091,22-25,-,-,-,
157,154B,SBST,1,TRUNK,22009,12101,08-42,-,-,-,
158,155,SBST,1,TRUNK,52009,84009,10-15,09-16,15-17,14-17,
159,155,SBST,2,TRUNK,84009,52009,10-12,10-18,10-17,16-17,
160,156,SBST,1,TRUNK,67009,17009,09-17,09-17,11-15,15-19,
161,156,SBST,2,TRUNK,17009,67009,11-14,09-17,10-14,15-17,
162,157,SBST,1,TRUNK,52009,22009,08-14,07-15,08-10,11-15,
163,157,SBST,2,TRUNK,22009,52009,09-11,07-15,08-12,11-17,
164,158,SBST,1,TRUNK,66009,66009,11-13,10-16,13-14,13-17,Rhu Cross
165,158A,SBST,1,TRUNK,81089,81081,24-27,-,-,-,Rhu Cross
166,159,SBST,1,TRUNK,67009,52009,05-14,05-13,08-12,11-13,
167,159,SBST,2,TRUNK,52009,67009,08-15,05-15,09-12,10-13,
168,159A,SBST,1,TRUNK,67009,54399,12-25,15-15,-,-,
169,159B,SBST,1,TRUNK,54391,54481,03-55,-,-,-,
170,16,SBST,1,TRUNK,84009,10009,08-09,07-13,10-12,10-12,
171,16,SBST,2,TRUNK,10009,84009,10-10,07-13,10-11,10-13,
172,160,SBST,1,TRUNK,28009,28009,15-18,12-20,14-17,15-20,Jln Jim Quee
173,160A,SBST,1,TRUNK,28009,43671,13-15,15-15,15-15,14-15,
174,161,SBST,1,TRUNK,64009,46009,5-9,6-11,7-9,9-13,
175,161,SBST,2,TRUNK,46009,64009,5-10,6-10,6-10,8-12,
176,162,SBST,1,TRUNK,55509,03239,10-11,09-15,09-10,-,
177,162,SBST,2,TRUNK,03239,55509,14-15,08-15,12-19,19-19,
178,162M,SBST,1,TRUNK,55509,55509,11-13,12-15,14-15,14-15,Temasek Ave
179,163,SBST,1,TRUNK,67009,52009,09-12,09-16,10-17,14-18,
