,ServiceNo,Operator,Direction,Category,OriginCode,DestinationCode,LoopDesc,StopSequence,BusStopCode,TotalDistance,WD_FirstBus,WD_LastBus,SAT_FirstBus,SAT_LastBus,SUN_FirstBus,SUN_LastBus
0,599,SMRT,1,FLAT FARE $5.00,64449.0,3218.0,No Loop,18,03218,17.5,0833,0833,-,-,-,-
1,598,SMRT,1,FLAT FARE $5.00,44859.0,3218.0,No Loop,30,03218,20.9,0845,0855,-,-,-,-
2,590,SMRT,1,FLAT FARE $5.00,45421.0,3218.0,No Loop,25,03218,26.2,0850,0900,-,-,-,-
3,589,SMRT,1,FLAT FARE $4.00,17429.0,3011.0,No Loop,20,03011,17.3,0843,0843,-,-,-,-
4,588,SMRT,1,FLAT FARE $4.00,53369.0,3218.0,No Loop,25,03218,17.0,0841,0841,-,-,-,-
5,587,SMRT,1,FLAT FARE $5.00,46861.0,3218.0,No Loop,32,03218,29.7,0853,0853,-,-,-,-
6,546,SMRT,1,FLAT FARE $3.50,60221.0,3218.0,No Loop,15,03218,8.0,0832,0832,-,-,-,-
7,531,SMRT,2,FLAT FARE $5.00,3222.0,96121.0,No Loop,33,96121,20.7,1903,1933,-,-,-,-
8,530,SMRT,1,FLAT FARE $3.50,13051.0,3218.0,No Loop,15,03218,5.4,0840,0855,-,-,-,-
9,529,SMRT,1,FLAT FARE $2.70,55509.0,55509.0,No Loop,19,55509,5.7,-,-,1518,2018,-,-
10,761,SBST,1,FLAT FARE $4.20,56251.0,3011.0,No Loop,18,03011,17.8,0836,0846,-,-,-,-
11,585,SBST,1,FLAT FARE $4.20,82009.0,3011.0,No Loop,19,03011,17.7,0832,0842,-,-,-,-
12,569,SBST,1,FLAT FARE $4.50,65009.0,3011.0,No Loop,17,03011,27.5,0838,0838,-,-,-,-
13,565,SBST,1,FLAT FARE $4.00,52471.0,3011.0,No Loop,14,03011,11.4,0828,0828,-,-,-,-
14,564,SBST,1,FLAT FARE $4.00,41119.0,3011.0,No Loop,19,03011,10.7,0829,0834,-,-,-,-
15,563,SBST,1,FLAT FARE $4.20,42011.0,3011.0,No Loop,13,03011,17.2,0845,0845,-,-,-,-
16,561,SBST,1,FLAT FARE $4.00,70059.0,3011.0,No Loop,13,03011,12.7,0829,0829,-,-,-,-
17,560,SBST,1,FLAT FARE $4.20,12169.0,3011.0,No Loop,17,03011,15.5,0825,0837,-,-,-,-
