,reward,avg_reward_100,steps
0,-1074.088056506715,-1074.088056506715,200
1,-1280.3454724811177,-1177.2167644939163,200
2,-887.1903081633734,-1080.5412790504022,200
3,-1017.1524985703237,-1064.6940839303825,200
4,-1038.6294590492614,-1059.4811589541582,200
5,-992.251143804224,-1048.2761564291693,200
6,-1046.133010281298,-1047.969992693759,200
7,-1047.5930249464304,-1047.922871725343,200
8,-1058.5295358606165,-1049.1013899625955,200
9,-1093.6959590895706,-1053.560846875293,200
10,-1208.1932831128263,-1067.6183410787053,200
11,-1051.4648481210863,-1066.2722166655703,200
12,-879.0501428914215,-1051.8705186829434,200
13,-926.1657677276347,-1042.8916079004214,200
14,-1482.1789938931693,-1072.1774336332712,200
15,-998.2851068579498,-1067.5591632098137,200
16,-1281.3852615666656,-1080.1371689955108,200
17,-1060.3812408498334,-1079.039617431862,200
18,-1164.4575499956425,-1083.5352980931136,200
19,-825.0104555359069,-1070.6090559652534,200
20,-1046.3619762257185,-1069.4544331205136,200
21,-977.8802582618439,-1065.2919706269377,200
22,-1231.751074975215,-1072.5293229899064,200
23,-903.6572839091159,-1065.4929880282068,200
24,-965.1556919527868,-1061.4794961851899,200
25,-1046.6077786597896,-1060.9075070495976,200
26,-1039.4324688135673,-1060.112135263078,200
27,-508.59846927403674,-1040.4152186206122,200
28,-972.9815819110407,-1038.0899208030407,200
29,-799.2433419314389,-1030.1283681739874,200
30,-639.6573724745238,-1017.5325296030371,200
31,-607.902004549368,-1004.7315756951099,200
32,-920.9565054140264,-1002.1929372017438,200
33,-838.1241425045836,-997.3673844165331,200
34,-755.1588453244074,-990.4471404424723,200
35,-555.2028507720461,-978.3570212849604,200
36,-819.2775883770405,-974.0575771523139,200
37,-503.5700381387338,-961.6763261256408,200
38,-646.5696575354967,-953.5966679566627,200
39,-646.0700929522187,-945.9085035815518,200
40,-908.4184014798316,-944.9941108473636,200
41,-498.89909248011895,-934.3728008862387,200
42,-641.8206675062987,-927.5692629006586,200
43,-382.002549763459,-915.1700194202676,200
44,-621.8441474931637,-908.6516667107763,200
45,-646.414586363717,-902.9508606162751,200
46,-681.5675175771374,-898.2405767218254,200
47,-733.0725669139222,-894.7995765174942,200
48,-505.70404997520467,-886.8588514860189,200
49,-590.970624265142,-880.9410869416014,200
50,-967.9915522248733,-882.6479588099007,200
51,-621.7227857535336,-877.6301670203552,200
52,-500.84716998978735,-870.521053868835,200
53,-517.3710565890642,-863.9812391043948,200
54,-250.39385993541464,-852.8251049376861,200
55,-524.8213743250179,-846.9678954624599,200
56,-227.62165880233164,-836.1021720122822,200
57,-259.5801401098747,-826.162136979482,200
58,-240.5322259209421,-816.2362062835746,200
59,-248.691098104277,-806.777121147253,200
60,-246.95322010504609,-797.599680146561,200
61,-249.7959704857316,-788.7641364423541,200
62,-130.19023399418344,-778.3105824352402,200
63,-382.57747573392965,-772.1272526430323,200
64,-259.05436504819227,-764.2338236031117,200
65,-249.42122782541804,-756.4336327579952,200
66,-248.79386246286234,-748.8569197685156,200
67,-240.26356930659313,-741.3776057911343,200
68,-129.47157749269653,-732.5094024824613,200
69,-2.361585250320555,-722.078719379145,200
70,-125.73853295566519,-713.6795618238847,200
71,-242.14355307240172,-707.1304505912253,200
72,-124.34592371393222,-699.1471009079747,200
73,-129.71606286793136,-691.4520868804066,200
74,-126.88832492191189,-683.9245700542933,200
75,-121.13446441733517,-676.519437085386,200
76,-245.69598200332462,-670.9243272791255,200
77,-125.87387900561514,-663.9365010192087,200
78,-354.76704789910673,-660.0229636379415,200
79,-2.56751279781292,-651.8047705024399,200
80,-118.07757752797052,-645.2155458978168,200
81,-124.1834381870988,-638.8614958037837,200
82,-1.5161911845969445,-631.1826367119862,200
83,-1.4303350527100305,-623.6855855017568,200
84,-114.44885106239802,-617.6945650965879,200
85,-241.52177111415028,-613.3204628409782,200
86,-117.03647150332597,-607.6160491474419,200
87,-230.10456358720154,-603.3261459024391,200
88,-242.85475918235846,-599.2759056022135,200
89,-2.906271714509695,-592.6495763367946,200
90,-239.93543726345644,-588.7735967865381,200
91,-1.7378614070353213,-582.3927735758913,200
92,-4.218569237559684,-576.175846647522,200
93,-237.5763810848234,-572.5737246734508,200
94,-478.5012088894863,-571.5834876651985,200
95,-230.3115943376038,-568.0285721097028,200
96,-127.72712669339047,-563.4893819507718,200
97,-504.5811423140937,-562.8882774646831,200
98,-238.44071137857583,-559.6110293223993,200
99,-234.15594764869948,-556.3564785056623,200
100,-127.05394115785573,-546.8861373521737,200
101,-1341.8374565629142,-547.5010571929918,200
102,-503.212339603244,-543.6612775073904,200
103,-117.30341241647939,-534.6627866458521,200
104,-124.59931336818545,-525.5224851890412,200
105,-130.1052329589268,-516.9010260805883,200
106,-126.7010632069433,-507.7067066098447,200
107,-235.6321153048499,-499.58709751342883,200
108,-126.33924114405622,-490.2651945662633,200
109,-125.51945769829842,-480.5834295523505,200
110,-1.2203837591087912,-468.51370055881335,200
111,-526.1742830997163,-463.2607949085996,200
112,-116.55566781278993,-455.6358501578134,200
113,-232.3385030586656,-448.69757751112365,200
114,-607.3510463596773,-439.94929803578873,200
115,-115.09327653581195,-431.11737973256726,200
116,-125.2673105525533,-419.5562002224262,200
117,-228.18502088068567,-411.2342380227347,200
118,-126.34453533967164,-400.8531078761751,200
119,-123.82929316007402,-393.8412962524168,200
120,-125.78748782115325,-384.63555136837107,200
121,-368.64525138069433,-378.5432012995596,200
122,-125.66099623155995,-367.4823005121231,200
123,-127.75482705856588,-359.7232759436176,200
124,-126.26083386751041,-351.33432736276484,200
125,-126.14103768665572,-342.12965995303347,200
126,-135.2511272111456,-333.0878465370092,200
127,-124.74315227061972,-329.24929336697494,200
128,-124.28496028618066,-320.76232715072643,200
129,-342.1030026100241,-316.1909237575123,200
130,-236.87888730306486,-312.1631389057977,200
131,-230.12269248094108,-308.3853457851135,200
132,-1.510440244258281,-299.1908851334158,200
133,-123.76108377992817,-292.04725454616926,200
134,-229.47296952828003,-286.790395788208,200
135,-121.03336890345058,-282.448700969522,200
136,-126.64898898540207,-275.52241497560567,200
137,-1.342974064314846,-270.5001443348614,200
138,-1.8320556458262,-264.0527683159647,200
139,-1.1471264594262436,-257.6035386510368,200
140,-1.5558273112053334,-248.53491290935054,200
141,-124.06655533628312,-244.78658753791214,200
142,-493.2193337032519,-243.30057419988162,200
143,-1.3568001157771052,-239.49411670340479,200
144,-115.7688159143884,-234.43336338761702,200
145,-121.81369985843547,-229.18735452256425,200
146,-233.93509131371707,-224.71103025993,200
147,-242.74116971755257,-219.80771628796631,200
148,-244.6615573688247,-217.19729136190253,200
149,-232.34863640302376,-213.61107148328136,200
150,-124.05576880857355,-205.1717136491184,200
151,-246.58547557077304,-201.42034054729083,200
152,-2.595174627372896,-196.43782059366663,200
153,-479.484565907095,-196.05895568684693,200
154,-115.8551755213528,-194.71356884270634,200
155,-0.9627867402010203,-189.47498296685822,200
156,-125.2808704712524,-188.45157508354737,200
157,-121.98261985845058,-187.07559988103318,200
158,-123.91255167909308,-185.90940313861466,200
159,-6.963123487874282,-183.49212339245062,200
160,-122.00737231617421,-182.2426649145619,200
161,-234.11328923850422,-182.08583810208958,200
162,-125.32082468369109,-182.03714400898468,200
163,-129.5856864419116,-179.50722611606452,200
164,-126.12185869241573,-178.1779010525068,200
165,-384.03230404384857,-179.52401181469108,200
166,-246.11637161320996,-179.49723690619456,200
167,-118.12639800911096,-178.27586519321972,200
168,-125.89474333685159,-178.2400968516613,200
