,reward,avg_reward_100,steps
0,-1364.7476202295459,-1364.7476202295459,200
1,-1524.8234689937105,-1444.7855446116282,200
2,-1668.3026265506135,-1519.2912385912898,200
3,-994.0826174615685,-1387.9890833088596,200
4,-955.3590457826151,-1301.4630758036105,200
5,-1258.7389856666064,-1294.34239411411,200
6,-901.940193053861,-1238.2849368197888,200
7,-1247.6549181221058,-1239.4561844825785,200
8,-1289.088783954735,-1244.9709177572627,200
9,-956.6222575547481,-1216.136051737011,200
10,-1162.7771157281743,-1211.2852393725714,200
11,-988.5713403646057,-1192.7257477885744,200
12,-991.2592778102706,-1177.2283270210123,200
13,-1391.168356505743,-1192.5097576984933,200
14,-1151.6666964610224,-1189.7868869493286,200
15,-1251.41981791936,-1193.6389451349555,200
16,-1295.2701146124516,-1199.617249221867,200
17,-1292.2987916487596,-1204.766223801139,200
18,-1185.8989291557982,-1203.7732082934895,200
19,-1188.8007456615883,-1203.0245851618943,200
20,-754.0424333784166,-1181.6444826960146,200
21,-1078.2300773329805,-1176.9438279067856,200
22,-881.3765264780086,-1164.093075670752,200
23,-867.190618229208,-1151.7221399440207,200
24,-854.9915530148867,-1139.8529164668553,200
25,-955.8387656330233,-1132.7754491270925,200
26,-833.4274053401699,-1121.6884845423917,200
27,-841.6024795621739,-1111.6854129359556,200
28,-744.20110522944,-1099.0135402564206,200
29,-853.7047343065034,-1090.8365800580898,200
30,-623.4803195270993,-1075.7605716538644,200
31,-721.2865424892296,-1064.6832582424695,200
32,-730.8109654951394,-1054.565916038005,200
33,-731.3506627435964,-1045.0595850587579,200
34,-730.9696240714501,-1036.085586173406,200
35,-723.8630562864266,-1027.41273812099,200
36,-727.885292898631,-1019.3174017636289,200
37,-611.0632675368742,-1008.5738719155564,200
38,-663.8710086733788,-999.7353369606288,200
39,-611.8786916015102,-990.0389208266508,200
40,-607.8311468986478,-980.7167799991386,200
41,-612.0386123539918,-971.9387283885399,200
42,-678.0072006014753,-965.1031114632593,200
43,-604.5427194557884,-956.9085570994531,200
44,-716.1540471130752,-951.5584568775334,200
45,-601.4727923499952,-943.9478989530218,200
46,-724.899167985302,-939.2872876558362,200
47,-571.8150239712722,-931.6316154957412,200
48,-612.2726018970224,-925.1140846059715,200
49,-616.9690400841408,-918.9511837155349,200
50,-497.0142239801791,-910.6779099952338,200
51,-490.0786934913928,-902.5894635240061,200
52,-491.9563632380785,-894.8416691789886,200
53,-360.05728137678494,-884.9382545900589,200
54,-471.7756473845424,-877.4262071863222,200
55,-469.3089199956234,-870.1383984864884,200
56,-475.2352292520873,-863.2102727104462,200
57,-438.39104356413975,-855.8858032424065,200
58,-358.96224410340113,-847.4633700366606,200
59,-239.92155249122806,-837.3376730775701,200
60,-231.06905454300548,-827.3988432655281,200
61,-105.86545871654836,-815.7612080308671,200
62,-108.86971915098195,-804.540708207377,200
63,-607.4504185985,-801.4611724322381,200
64,-457.3548193936489,-796.1672285393367,200
65,-103.08479731974958,-785.6659795814643,200
66,-101.10686054850848,-775.4486792973902,200
67,-342.58639686849796,-769.0830574969654,200
68,-111.49257983958493,-759.5527607193222,200
69,-363.14619026589924,-753.8898097128447,200
70,-242.25124561929007,-746.6836327537806,200
71,-676.7481344719585,-745.7123063887551,200
72,-1361.3831036980832,-754.1461529272391,200
73,-1053.833201114238,-758.1959779027391,200
74,17.18563148341251,-747.857556444257,200
75,18.738684351993754,-737.7707638022011,200
76,-100.26850352680577,-729.4915136687545,200
77,-1171.9814261708884,-735.1644612649357,200
78,19.766637355476117,-725.608371408981,200
79,-98.00258313076411,-717.7632990555034,200
80,-752.459218481303,-718.1916437397725,200
81,19.629184638293122,-709.1938287595522,200
82,-104.05138870452606,-701.9029559878048,200
83,-525.8149913224006,-699.806670694169,200
84,-103.85655307485325,-692.7954928398241,200
85,-103.6893163219191,-685.9454210198485,200
86,-243.4853409702082,-680.8596729733009,200
87,-502.63857319376103,-678.8344332030789,200
88,-230.38336575801,-673.7956571643703,200
89,-342.14758753173965,-670.1106786128967,200
90,-107.44983964684725,-663.9275924704126,200
91,-223.86705131005192,-659.1443257186695,200
92,-109.32492618539715,-653.2322891645483,200
93,-476.77395247251076,-651.3550728167608,200
94,-100.43008755735714,-645.555862445609,200
95,19.173765663246705,-638.6315954861418,200
96,-218.9723393349722,-634.3052114021091,200
97,-347.63930336505075,-631.3800490752004,200
98,-104.98146185326837,-626.0628916285142,200
99,18.070232493517913,-619.6215603872938,200
100,-105.55349109841825,-607.0296190959826,200
101,-462.15627957435015,-596.4029472017891,200
102,-102.11813075921748,-580.741102243875,200
103,19.745936845576583,-570.6028167008037,200
104,-103.49084435684699,-562.084134686546,200
105,-358.9702767310685,-553.0864475971906,200
106,-455.633049091531,-548.6233761575672,200
107,-105.07880656005403,-537.1976150419467,200
108,-101.81345327355733,-525.324861735135,200
109,-100.53348951155319,-516.763974054703,200
110,-98.52169729748289,-506.12141987039604,200
111,-103.09158706035538,-497.26662233735345,200
112,-376.97631778050635,-491.1237927370559,200
113,-102.29234478679881,-478.23503261986656,200
114,-207.89689165591514,-468.79733457181544,200
115,18.797505348891924,-456.09516133913297,200
116,-96.31782709022873,-444.10563846391074,200
117,-98.88414710806201,-432.1714920185037,200
118,-103.22019161727823,-421.34470464311846,200
119,-232.17647767163382,-411.77846196321894,200
120,-103.20319961376157,-405.2700696255724,200
121,19.30944358762662,-394.2946744163663,200
122,18.448344527980517,-385.2964257063064,200
123,-228.89579881612275,-378.9134775121755,200
124,-99.8124746506261,-371.3616867285329,200
125,-560.7168477364334,-367.41046754956704,200
126,-99.6848014906418,-360.0730415110718,200
127,-96.2280101466657,-352.61929681691674,200
128,-101.80300597123504,-346.1953158243346,200
129,-1371.237072809303,-351.37063920936254,200
130,-1072.998296934663,-355.8658189834382,200
131,-103.81515696319896,-349.6911051281779,200
132,-334.7060632962691,-345.7300561061891,200
133,-101.97798735797979,-339.4363293523331,200
