reward,avg_reward_100,steps
-1294.2827461129757,-1294.2827461129757,200
-1254.869311191646,-1274.576028652311,200
-1186.0686384980659,-1245.0735652675626,200
-790.9760701212941,-1131.5491914809954,200
-1212.2634949537205,-1147.6920521755405,200
-919.398897337898,-1109.6431930359333,200
-986.2269381944081,-1092.012299487144,200
-1038.470086577358,-1085.3195228734207,200
-1166.4028886467736,-1094.3287857371265,200
-1005.2694666334995,-1085.422853826764,200
-874.6654480815087,-1066.2630896681042,200
-1201.3242311227527,-1077.518184789325,200
-1185.9018027155446,-1085.855386168265,200
-1047.023728790117,-1083.08169635554,200
-1052.6536634477443,-1081.0531608283536,200
-886.8109584343689,-1068.9130231787299,200
-1091.8259737145718,-1070.2608437984852,200
-895.6436797327161,-1060.5598902392758,200
-824.2404135891503,-1048.122023047164,200
-926.9313495601617,-1042.0624893728138,200
-979.9304703586812,-1039.1038218007122,200
-1009.7846446587107,-1037.7711319306213,200
-1069.9577089651366,-1039.1705483234261,200
-860.1734379829574,-1031.7123353925733,200
-769.635391490901,-1021.2292576365065,200
-874.9217426973954,-1015.6020455234637,200
-721.5360568050627,-1004.7107126079675,200
-866.3375039897008,-999.7688123001723,200
-866.4780053793897,-995.172577578766,200
-743.152016757173,-986.7718922180462,200
-1018.1077069731818,-987.7827249520827,200
-742.8679939117727,-980.1291396070731,200
-868.0635234255373,-976.7332118439963,200
-740.8182038713103,-969.7945351389174,200
-762.462701745387,-963.8707684705308,200
-635.9539907473247,-954.7619690893306,200
-862.5642061323706,-952.2701376580615,200
-493.9941790187278,-940.210244009658,200
-754.2426912575488,-935.4418452211423,200
-637.7840283207215,-928.0003997986317,200
-771.2828457881083,-924.1780204325215,200
-1036.5045336686449,-926.8524612238577,200
-849.0187654199568,-925.0423752749298,200
-536.1523813586876,-916.203966322288,200
-605.0102321454343,-909.2885500072467,200
-258.60303556354535,-895.1432127367315,200
-258.64865307576406,-881.6007752971364,200
-865.435226330205,-881.2639930269919,200
-886.676143069699,-881.3744450686798,200
-380.24234765975933,-871.3518031205015,200
-511.0094138523096,-864.2862660760271,200
-506.0296538616735,-857.3967158411358,200
-376.8292717548742,-848.3294055753572,200
-257.1552815033705,-837.3817366110612,200
-375.6994822075987,-828.9875138037256,200
-246.75793359933192,-818.5905570143613,200
-129.08880362333002,-806.4940350250449,200
-246.01135316956353,-796.8305405102951,200
-243.9952468642395,-787.4604507874806,200
-383.1612588435134,-780.7221309217479,200
-632.9638990999576,-778.2998648263087,200
-122.25881666562313,-767.7185575979105,200
-518.9012097613027,-763.7690758862183,200
-364.5530518620593,-757.5313255108408,200
-129.0607525784338,-747.862547465727,200
-248.29868100475065,-740.2933979738939,200
-387.29955879286456,-735.0248332099981,200
-388.1888267029145,-729.9243037025409,200
-126.97602600566306,-721.1859228663543,200
-488.24932411535275,-717.8582571699113,200
-391.54001047812744,-713.2622255263651,200
-125.43258332357787,-705.0979249402153,200
-122.873779514283,-697.1222517152025,200
-130.90665071967635,-689.4706895395873,200
-310.30756647268583,-684.4151812320287,200
-251.81935546616006,-678.723130893004,200
-377.60337120831633,-674.8124846633327,200
-581.951632614637,-673.6219609191188,200
-128.92319562965713,-666.7270398395053,200
-127.04695226703403,-659.9810387448495,200
-123.92401308871823,-653.3630507737861,200
-417.28512318577646,-650.4840516568592,200
-130.21020307879928,-644.2156920354367,200
-124.75394797793123,-638.0316236537998,200
-127.12646509517138,-632.0209747295806,200
-128.1138187377073,-626.1615891947914,200
-599.3645980291542,-625.8535778020829,200
-124.19796068116568,-620.1529457893452,200
-124.09763983611788,-614.5792906662751,200
-120.49611993786546,-609.0894776581817,200
-120.22452604699436,-603.717335332784,200
-128.41995901817532,-598.5510595032774,200
-118.14784841680458,-593.3854335776164,200
-127.66887325295066,-588.4310020848009,200
-123.06609177441948,-583.5324240815337,200
-121.32791788926258,-578.7177938086976,200
-118.11721983616852,-573.9693342832077,200
-116.59198220449574,-569.3022184456697,200
-115.56761989843113,-564.7190406825663,200
-121.12272184246822,-560.2830774941654,200
-226.53210903057064,-549.6055711233412,200
-126.54308990572899,-538.3223089104822,200
-126.82266028882509,-527.7298491283898,200
-1.2949284675104633,-519.8330377118518,200
-126.15242538361574,-508.97192701615086,200
