reward,avg_reward_100,steps
-876.3512998412169,-876.3512998412169,200
-1460.8040669522416,-1168.5776833967293,200
-996.432398598381,-1111.1959217972799,200
-1259.3967693267207,-1148.24613367964,200
-1481.5522139456873,-1214.9073497328495,200
-1071.640390170081,-1191.0295231390546,200
-1570.2492886202906,-1245.2037753506597,200
-774.1318342394989,-1186.3197827117647,200
-907.2885662537287,-1155.3163142164274,200
-998.5811412315109,-1139.6427969179356,200
-880.8850874867278,-1116.1193687878258,200
-1128.341982848408,-1117.137919959541,200
-1713.0133532140671,-1162.9744917483508,200
-878.1399990775058,-1142.6291708432905,200
-892.6725731862817,-1125.9653976661566,200
-1167.4400724189345,-1128.557564838205,200
-1724.268346297771,-1163.599375512297,200
-861.5551573367817,-1146.8191411692128,200
-1543.9324251047508,-1167.7198403237148,200
-854.327948833767,-1152.0502457492175,200
-1430.1165668946417,-1165.291499137095,200
-1734.075052929486,-1191.145297036749,200
-1759.957184829044,-1215.8762486798921,200
-1284.080847056929,-1218.7181069456021,200
-865.3394141032261,-1204.5829592319071,200
-1363.36190908553,-1210.689841918585,200
-1270.0880359242651,-1212.8897750299063,200
-846.3782964233102,-1199.800079365385,200
-1423.877380466406,-1207.5268828516273,200
-1675.5651866713545,-1223.128159645618,200
-1452.5118352812176,-1230.5276330532183,200
-980.8716610805453,-1222.725883929072,200
-1220.0980106996678,-1222.6462514069688,200
-971.8232354917565,-1215.2691038800508,200
-1411.3971070765044,-1220.8727611142351,200
-1044.2513168736127,-1215.966609885329,200
-1159.1836347781496,-1214.4319348824322,200
-974.541898722612,-1208.119039194016,200
-1216.389039687759,-1208.3310904887273,200
-964.3302593474632,-1202.231069710196,200
-1699.8683416801302,-1214.368564148487,200
-1665.4387429455585,-1225.108330310322,200
-1491.4885920049037,-1231.3032201171727,200
-1055.7472907633694,-1227.3133126318592,200
-1532.3107703758064,-1234.091033915058,200
-1002.3921340756539,-1229.0541013098536,200
-984.1080961783972,-1223.842484179397,200
-1502.0404291020059,-1229.6382746986178,200
-752.4037710791112,-1219.8987950329135,200
-1455.1072189366182,-1224.6029635109876,200
-1247.4000222205027,-1225.0499646621545,200
-1577.424771036947,-1231.826403246285,200
-1223.4796588379816,-1231.6689175027323,200
-1651.8211541399335,-1239.449514477495,200
-1053.6900730883872,-1236.0720700886025,200
-1125.2009220298114,-1234.0922281589815,200
-1173.7295147092261,-1233.0332331861787,200
-1074.4799925212305,-1230.29955662299,200
-857.4325811265801,-1223.979777377288,200
-1351.4863298510745,-1226.1048865851844,200
-1369.2910075863704,-1228.4522000442203,200
-1511.1621529182548,-1233.0120379938016,200
-1481.203668541844,-1236.9515876850403,200
-1018.5621298999538,-1233.539252407148,200
-1003.7710620255308,-1230.0043571705078,200
-866.782661574599,-1224.5009981463272,200
-1562.6418869626623,-1229.5478770838845,200
-1204.7263271924157,-1229.182854291363,200
-1068.22540210681,-1226.8501375930362,200
-1618.2757446318994,-1232.4419319793055,200
-1469.0320318229647,-1235.774186906681,200
-1457.347416424214,-1238.8515928722024,200
-967.8444488212966,-1235.1391662413682,200
-891.2321432092218,-1230.4917740382311,200
-1065.0405652312631,-1228.2857579208048,200
-1502.662698423543,-1231.8959808221568,200
-1430.3362862724987,-1234.4731276461873,200
-1100.512667582662,-1232.755685850501,200
-1518.972803932262,-1236.378687345207,200
-1274.1518253087913,-1236.8508515697515,200
-1591.1358742086184,-1241.2247407381326,200
-1558.3900113739744,-1245.0926098922282,200
-1267.1678598666033,-1245.3585767593893,200
-1190.129299400474,-1244.7010853622594,200
-986.8856801882858,-1241.667962948448,200
-1498.2489167446129,-1244.6514624111942,200
-1073.8932079351064,-1242.6887238539978,200
-1488.7152092143824,-1245.4844793694565,200
-1572.1071888191166,-1249.1543974531608,200
-1083.0430294414175,-1247.3087155863634,200
-886.3052739122306,-1243.3416447987356,200
-1243.8492383836142,-1243.3471621203105,200
-950.0822805843968,-1240.1937762973437,200
-1594.5381538302925,-1243.963397334928,200
-967.2427480536625,-1241.0505483951254,200
-968.568998431648,-1238.212198916339,200
-1015.1889382843617,-1235.9129900438445,200
-938.6368014009241,-1232.8795595474883,200
-946.591627995562,-1229.9877622590848,200
-984.1656862996191,-1227.52954149949,200
-1578.8080577727098,-1234.5541090788051,200
-1658.2605925162711,-1236.5286743344452,200
-1544.7928428734115,-1242.0122787771957,200
-1419.0904521447897,-1243.6092156053764,200
-1443.1953003689362,-1243.225646469609,200
-1061.7850769385102,-1243.1270933372934,200
-980.1351339802678,-1237.225951790893,200
-898.3193312803998,-1238.4678267613021,200
-1614.3816142943817,-1245.5387572417087,200
-1513.0568106677545,-1250.683513936071,200
-972.8444420776443,-1251.6031074819803,200
-881.5391129567608,-1249.1350787830636,200
