Fuel,Repair,Capital
16.44,12.43,11.23
7.19,2.7,3.92
9.92,1.35,9.75
4.24,5.78,7.78
11.2,5.05,10.67
14.25,5.78,9.88
13.5,10.98,10.6
13.32,14.27,9.45
12.68,7.61,10.23
7.51,5.8,8.13
9.9,3.63,9.13
10.25,5.07,10.17
11.11,6.15,7.61
12.17,14.26,14.39
10.24,2.59,6.09
10.18,6.05,12.14
8.88,2.7,12.23
12.34,7.73,11.68
8.51,14.02,12.01
12.95,8.24,7.18
16.93,13.37,17.59
14.7,10.78,14.58
10.32,5.16,17
8.98,4.49,4.26
9.7,11.59,6.83
12.72,8.63,5.59
9.49,2.16,6.23
8.22,7.95,6.72
13.7,11.22,4.91
8.21,9.85,8.17
15.86,11.42,13.06
9.18,9.18,9.49
12.49,4.67,11.94
17.32,6.86,4.44
