Year,Entity,Sector,Oil Consumption - KTOE
1965,Africa,Overall,2934.3315563198626
1966,Africa,Overall,3177.012639724849
1967,Africa,Overall,3165.307308684437
1968,Africa,Overall,3346.5164230438522
1969,Africa,Overall,3412.9221840068785
1970,Africa,Overall,3729.7704213241614
1971,Africa,Overall,4071.929750644884
1972,Africa,Overall,4390.9943250214965
1973,Africa,Overall,4726.738607050731
1974,Africa,Overall,4882.198624247636
1975,Africa,Overall,5128.157007738608
1976,Africa,Overall,5611.181771281169
1977,Africa,Overall,5977.354256233878
1978,Africa,Overall,6295.623387790198
1979,Africa,Overall,6628.878761822872
1980,Africa,Overall,7026.989079965606
1981,Africa,Overall,7599.844368013757
1982,Africa,Overall,7955.522184006878
1983,Africa,Overall,8293.65649183147
1984,Africa,Overall,8441.548581255374
1985,Africa,Overall,8659.431298366295
1986,Africa,Overall,8500.370937231299
1987,Africa,Overall,8960.177128116939
1988,Africa,Overall,9340.225279449698
1989,Africa,Overall,9664.02837489252
1990,Africa,Overall,9822.89595872743
1991,Africa,Overall,9877.086844368014
1992,Africa,Overall,10064.700773860704
1993,Africa,Overall,10146.833190025796
1994,Africa,Overall,10506.318142734308
1995,Africa,Overall,10892.361994840929
1996,Africa,Overall,11126.150472914875
1997,Africa,Overall,11455.486672398969
1998,Africa,Overall,11724.06448839209
1999,Africa,Overall,12163.028374892518
2000,Africa,Overall,12213.125537403268
2001,Africa,Overall,12318.695614789338
2002,Africa,Overall,12718.54256233878
2003,Africa,Overall,13111.049871023217
2004,Africa,Overall,13641.536543422184
2005,Africa,Overall,14229.743766122097
2006,Africa,Overall,14391.374032674117
2007,Africa,Overall,14916.085984522786
2008,Africa,Overall,15690.894239036974
2009,Africa,Overall,16216.477214101462
2010,Africa,Overall,16906.40240756664
2011,Africa,Overall,16630.87618228719
2012,Africa,Overall,17599.568357695614
2013,Africa,Overall,18241.11263972485
2014,Africa,Overall,18429.35081685297
2015,Africa,Overall,18909.243336199484
2016,Africa,Overall,19010.539982803097
2017,Africa,Overall,19201.116079105763
2018,Africa,Overall,19411.02321582115
2019,Africa,Overall,19450.009458297503
2020,Africa,Overall,17291.93981083405
2021,Africa,Overall,18775.081685296645
1965,Africa (BP),Overall,2934.3315563198626
1966,Africa (BP),Overall,3177.012639724849
1967,Africa (BP),Overall,3165.307308684437
1968,Africa (BP),Overall,3346.5164230438522
1969,Africa (BP),Overall,3412.9224419604475
1970,Africa (BP),Overall,3729.7704213241614
1971,Africa (BP),Overall,4071.929750644884
1972,Africa (BP),Overall,4390.9943250214965
