"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","189480","189120","191600","191220","194000","196150","195960","196340","207440","205100","203230","202400","216190","220890","223010","231240","224390","239430","246590","244840","255340","259730","261270","259480","259870","262460","266510","268100","268290","267460","","",
"Afghanistan","AFG","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2840","2930","2890","2930","2760","2880","3120","3430","3720","4000","3480","3070","3560","3690","3670","3820","3660","3600","3880","4160","4580","4680","4720","4770","5090","4620","5050","5270","4690","5010","","",
"Africa Western and Central","AFW","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75050","78450","79640","81410","141120","142200","145410","147450","152980","153230","159600","154350","156270","163820","163230","171590","171770","172020","174180","171830","178570","182810","184650","189490","190400","194090","204420","205020","207550","209390","","",
"Angola","AGO","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15370","15410","15460","15410","15370","15350","13810","13580","14990","13880","14290","14630","15840","18150","18270","17960","16610","17780","16870","16970","17850","18440","17520","18100","17560","18270","18350","18740","16840","18910","","",
"Albania","ALB","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1560","1190","1100","1150","1360","1340","1190","1120","1160","1120","1180","1140","1290","1300","1260","1270","1210","1200","1130","1120","1110","1150","1150","1120","1140","1190","1220","1190","1080","1100","","",
"Andorra","AND","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Arab World","ARB","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70460","69510","70870","74330","75680","77500","80910","82300","86120","87450","93260","93020","96310","95450","99350","101510","101830","103880","103820","106440","105790","108280","109860","111490","111260","111780","113230","114110","114150","116040","","",
"United Arab Emirates","ARE","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","510","570","620","660","700","750","780","800","820","860","900","960","1090","1160","1180","1250","1300","1350","1460","1560","1600","1600","1620","1770","1810","1770","1870","2030","1960","1940","","",
"Argentina","ARG","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35570","35450","36180","35700","36660","36710","37060","37380","37040","37210","39280","39080","39620","43550","43770","43390","44750","47170","45840","40250","41470","42600","42070","43510","43850","43500","46450","49040","48210","48530","","",
"Armenia","ARM","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","910","870","760","640","550","540","540","540","520","510","530","540","630","610","660","640","950","790","770","820","770","800","960","1020","980","1090","1620","1220","1170","1270","","",
"American Samoa","ASM","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","10","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","10","10","10","10","10","10","10","10","10","10","","",
"Australia","AUS","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78290","77300","76410","76130","75920","75710","69970","68920","73340","90300","98360","108700","101530","61260","85030","62220","81720","76870","61400","65130","54100","107160","106510","62980","75330","71810","57330","79460","76800","60870","","",
"Austria","AUT","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4970","4990","4780","4710","4670","4650","4760","4690","4700","4700","4660","4550","4470","4480","3930","3970","3960","3870","4000","3770","3780","3780","3830","3850","3930","3950","3960","3890","3830","3850","","",
"Azerbaijan","AZE","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2980","3000","2640","2410","2270","2260","2170","2280","2310","2360","2390","2580","2700","2790","2930","3000","3140","3150","3350","3390","3360","3460","3570","3620","3710","4100","4050","3960","4260","4130","","",
"Burundi","BDI","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1030","1040","1050","1040","990","1030","1020","1040","1110","1140","1150","1160","1150","1160","1200","1220","1270","1290","1340","1400","1490","1560","1600","1750","1760","1740","1880","2100","2160","2030","","",
"Belgium","BEL","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8170","8100","7730","7950","8450","8830","9320","9020","9110","9050","7680","7470","7960","7200","7280","7160","6150","5520","5480","5680","6190","4940","4950","4840","4820","4780","4620","4570","4590","4580","","",
"Benin","BEN","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1630","1690","1720","1740","1850","1790","2090","2180","2280","2230","2380","1940","2260","2030","1950","2340","2140","2220","2010","2120","2150","2210","2260","2380","2380","2340","2560","2470","2840","2720","","",
"Burkina Faso","BFA","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4730","4940","5040","5120","5380","5500","5450","5700","5770","5910","6390","5860","6220","7540","7740","8030","7850","7990","8150","8340","8720","8710","8790","9080","9150","9240","9750","9790","9910","10120","","",
"Bangladesh","BGD","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16430","17220","17530","17920","18570","19850","20380","19910","19950","21190","21360","21840","22420","21960","22100","22880","23910","24000","26090","25590","26150","27200","26600","26760","27680","28360","27420","28580","29330","28920","","",
"Bulgaria","BGR","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8240","7050","5230","4530","4570","4340","4430","4140","3570","3320","3710","3920","4330","4440","4340","3960","3230","3590","3810","3790","3720","4360","3450","3780","3850","4030","4050","4120","4130","4160","","",
"Bahrain","BHR","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","50","50","50","60","60","60","60","70","60","70","70","80","90","100","110","110","110","120","110","130","130","130","140","140","150","150","160","190","180","","",
"Bahamas, The","BHS","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","20","20","20","20","20","30","20","30","20","20","20","20","20","30","20","20","20","30","20","20","30","30","30","30","30","30","30","30","30","","",
"Bosnia and Herzegovina","BIH","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1120","990","890","800","670","570","500","630","800","850","880","810","800","770","970","920","940","940","890","1220","1200","1340","1420","1330","1430","1480","1360","1350","1270","1340","","",
"Belarus","BLR","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17490","16480","13070","12760","12040","11900","11930","11970","11880","11830","11610","11620","11280","11530","11750","12110","12600","12450","12990","13130","13030","13530","13390","13150","12730","12610","11860","12280","12150","12060","","",
"Belize","BLZ","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","110","100","100","90","90","90","100","100","100","100","160","230","100","120","110","120","120","150","130","160","150","220","220","230","230","220","200","220","","",
"Bermuda","BMU","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5010","5140","5240","5380","5540","5680","5480","5670","6010","6350","6040","6010","6890","6580","7440","7980","7660","7650","7670","7660","9520","8460","8480","8470","8050","8580","9080","8890","8800","9720","","",
"Brazil","BRA","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106270","110200","111860","114640","118100","120050","113010","116340","123650","124030","123930","129860","140220","145710","156220","155130","152980","158620","152420","148640","166180","165610","166610","167210","174020","171370","175480","183640","178490","182050","","",
"Barbados","BRB","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","50","50","50","50","50","50","50","50","50","50","40","40","40","50","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","","",
