Unnamed: 0,ServiceNo,Operator,Direction,Category,OriginCode,DestinationCode,AM_Peak_Freq,AM_Offpeak_Freq,PM_Peak_Freq,PM_Offpeak_Freq,LoopDesc
0,118,GAS,1,TRUNK,65009.0,97009.0,06-08,08-15,10-12,11-15,No Loop
1,118,GAS,2,TRUNK,97009.0,65009.0,10,10-12,05-11,10-15,No Loop
2,118A,GAS,1,TRUNK,65199.0,96119.0,14-16,-,-,-,No Loop
3,118B,GAS,1,TRUNK,96111.0,65191.0,-,-,30,-,No Loop
4,119,GAS,1,TRUNK,65009.0,65009.0,16-08,18-12,17-12,15-17,Hougang St 21
5,12,GAS,1,TRUNK,77009.0,10499.0,9,09-14,9-10,11-13,No Loop
6,12,GAS,2,TRUNK,10499.0,77009.0,10,08-15,08-14,10-14,No Loop
7,12e,GAS,1,EXPRESS,77009.0,10499.0,20-30,30,20-30,20-30,No Loop
8,12e,GAS,2,EXPRESS,10499.0,77009.0,20-30,20-30,20-30,20-30,No Loop
9,136,GAS,1,TRUNK,54009.0,65009.0,09-13,10-13,10-15,15-19,No Loop
10,136,GAS,2,TRUNK,65009.0,54009.0,08-15,11-16,10-11,17-20,No Loop
11,15,GAS,1,TRUNK,77009.0,77009.0,04-09,03-13,07-15,13-16,Marine Parade Rd
12,15A,GAS,1,TRUNK,77009.0,83109.0,09-17,110,-,-,Marine Parade Rd
13,17,GAS,1,TRUNK,77009.0,84009.0,8-11,10-12,10-11,11-15,No Loop
14,17,GAS,2,TRUNK,84009.0,77009.0,5-11,5-12,5-12,5-12,No Loop
15,17A,GAS,1,TRUNK,84009.0,84591.0,04-22,10-46,10-22,22-24,Bedok Nth Dr
16,2,GAS,1,TRUNK,99009.0,10499.0,10,09-16,09-18,14-18,No Loop
17,2,GAS,2,TRUNK,10499.0,99009.0,8-12,09-17,9-12,12-18,No Loop
18,2A,GAS,1,TRUNK,10499.0,85091.0,18-26,-,17-20,-,No Loop
19,3,GAS,1,TRUNK,75009.0,65009.0,7-11,09-14,8-09,12-14,No Loop
20,3,GAS,2,TRUNK,65009.0,75009.0,8-10,09-15,9-12,12-17,No Loop
21,34,GAS,1,TRUNK,65009.0,65009.0,04-09,05-14,09-13,12-14,PTB2 Basement
22,34A,GAS,1,TRUNK,65009.0,76059.0,18-44,26-39,00-00,00-00,PTB2 Basement
23,34B,GAS,1,TRUNK,75359.0,75351.0,4-09,04-15,09-13,11-14,No Loop
24,354,GAS,1,FEEDER,77009.0,77009.0,06-08,07-09,07-08,08-15,Jln Loyang Besar
25,358,GAS,1,TOWNLINK,77009.0,77009.0,05-07,07-08,05-07,05-10,Pasir Ris Dr 4
26,359,GAS,1,TOWNLINK,77009.0,77009.0,05-08,07-10,05-08,05-13,Pasir Ris St 11
27,36,GAS,1,TRUNK,95129.0,95129.0,08,08-11,08-10,08-12,Tomlinson Rd
28,36A,GAS,1,TRUNK,95129.0,9191.0,-,-,-,11-12,Tomlinson Rd
29,36B,GAS,1,TRUNK,93049.0,93199.0,08-08,09-283,09-09,-,Tomlinson Rd
30,381,GAS,1,FEEDER,65009.0,65009.0,10-12,10-12,10-12,10-15,Punggol East
31,382G,GAS,1,FEEDER,65009.0,65009.0,08-10,08-10,08-10,08-12,Sumang Walk
32,382W,GAS,1,FEEDER,65009.0,65009.0,08-10,08-10,08-10,08-12,Sumang Walk
33,386,GAS,1,FEEDER,65009.0,65009.0,07-11,15-10,07-11,15-07,Punggol Ctrl
34,386A,GAS,1,FEEDER,65009.0,65371.0,0-0,0-0,22-40,25-30,No Loop
35,3A,GAS,1,TRUNK,75009.0,77331.0,00-00,12-75,8-37,12-124,No Loop
36,3B,GAS,1,TRUNK,77289.0,77009.0,15-16,00-00,00-00,00-00,No Loop
37,403,GAS,1,TRUNK,77009.0,77009.0,09-13,13-19,14-19,14-15,Pasir Ris Rd
38,43,GAS,1,TRUNK,65009.0,94009.0,09,08-16,13-16,15-16,No Loop
39,43,GAS,2,TRUNK,94009.0,65009.0,14,10-17,10-17,13-18,No Loop
40,43M,GAS,1,TRUNK,65009.0,65009.0,07-10,08-17,04-15,13-16,S'goon Ctrl
41,518,GAS,1,EXPRESS,77009.0,77009.0,17-20,15-20,15-20,13-20,Bayfront Ave
42,518A,GAS,1,EXPRESS,77009.0,3519.0,30,-,-,-,No Loop
43,6,GAS,1,TRUNK,77009.0,77009.0,07-08,07-17,07-08,08,Loyang Cres
44,62,GAS,1,TRUNK,65009.0,65009.0,08-09,17-08,14-08,17-12,Sims Ave
45,62A,GAS,1,TRUNK,65009.0,81089.0,00-00,00-00,28,28,Sims Ave
46,661,GAS,1,EXPRESS,78111.0,3391.0,20,-,-,-,No Loop
47,661,GAS,2,EXPRESS,3539.0,78119.0,15,-,-,-,No Loop
48,68,GAS,1,TRUNK,77009.0,77009.0,15,15,15,15,Tampines Ctrl 1
49,82,GAS,1,TRUNK,65009.0,65009.0,13-15,15-12,17-12,14-18,S'goon Ctrl
50,83,GAS,1,TRUNK,65009.0,65009.0,10-13,09-14,10-10,12-16,Sengkang Sq
51,84,GAS,1,TRUNK,65009.0,65009.0,10,10,10,10-15,Punggol Rd
52,85,GAS,1,TRUNK,65009.0,59009.0,10-16,10-16,10,11-18,No Loop
53,85,GAS,2,TRUNK,59009.0,65009.0,10-15,10-16,10,16-18,No Loop
54,85A,GAS,1,TRUNK,59009.0,67441.0,10-14,10-15,9-10,11-18,No Loop
55,10,SBST,1,TRUNK,75009.0,16009.0,08-09,06-17,10-15,11-18,No Loop
56,10,SBST,2,TRUNK,16009.0,75009.0,10-11,10-16,09-13,12-20,No Loop
57,100,SBST,1,TRUNK,66009.0,11009.0,06-12,07-17,06-15,12-24,No Loop
58,100,SBST,2,TRUNK,11009.0,66009.0,06-09,06-13,08-13,13-15,No Loop
59,100A,SBST,1,TRUNK,66009.0,81089.0,16-36,-,15-26,20-20,No Loop
60,101,SBST,1,TRUNK,66009.0,66009.0,08-09,07-13,08-09,08-14,Buangkok Link
61,102,SBST,1,TRUNK,64009.0,64009.0,10-11,10-13,11-12,11-15,Seletar Aerospace Avenue
62,103,SBST,1,TRUNK,66009.0,59009.0,08-11,09-15,10-12,10-15,No Loop
63,103,SBST,2,TRUNK,59009.0,66009.0,09-11,09-16,10-10,14-17,No Loop
64,105,SBST,1,TRUNK,66009.0,28009.0,08-11,07-15,09-16,11-16,No Loop
65,105,SBST,2,TRUNK,28009.0,66009.0,07-15,08-15,09-14,12-14,No Loop
66,105B,SBST,1,TRUNK,28009.0,17179.0,14-14,-,-,-,No Loop
67,107,SBST,1,TRUNK,64009.0,3239.0,07-10,09-17,09-17,17-17,No Loop
68,107,SBST,2,TRUNK,3239.0,64009.0,13-15,09-16,09-10,09-10,No Loop
69,107M,SBST,1,TRUNK,64009.0,64009.0,14-15,09-17,13-16,13-14,Raffles Blvd
70,109,SBST,1,TRUNK,66009.0,99009.0,9-15,08-17,08-20,11-15,No Loop
71,109,SBST,2,TRUNK,99009.0,66009.0,10-15,09-17,10-13,13-19,No Loop
72,109A,SBST,1,TRUNK,66009.0,64611.0,-,-,28-28,15-26,No Loop
73,10e,SBST,1,EXPRESS,85049.0,3217.0,10-14,-,-,-,No Loop
74,10e,SBST,2,EXPRESS,3222.0,85041.0,-,-,10-10,-,No Loop
75,11,SBST,1,TRUNK,80009.0,80009.0,15-17,15-19,15-19,15-18,Rhu Cross
76,111,SBST,1,TRUNK,11009.0,11009.0,9-10,9-14,11-11,10-14,Temasek Ave
77,112,SBST,1,TRUNK,64009.0,64009.0,10-13,10-14,10-13,12-15,Hougang St 92
78,112A,SBST,1,TRUNK,64009.0,63031.0,-,-,-,15-15,No Loop
79,113,SBST,1,TRUNK,64009.0,64009.0,14-15,11-18,16-18,11-17,Upp Paya Lebar Rd
80,113A,SBST,1,TRUNK,63039.0,63031.0,-,-,16-21,-,Upp Paya Lebar Rd
81,115,SBST,1,TRUNK,63221.0,63221.0,31-31,29-50,32-32,-,Hougang Ave 3
82,116,SBST,1,TRUNK,64009.0,64009.0,09-10,10-14,10-10,10-14,S'goon Ctrl
83,117,SBST,1,TRUNK,65009.0,58009.0,12-12,12-15,13-13,14-15,No Loop
84,117,SBST,2,TRUNK,58009.0,65009.0,12-13,13-15,14-15,14-15,No Loop
85,117A,SBST,1,TRUNK,59479.0,59041.0,13-13,-,-,-,No Loop
86,117B,SBST,1,TRUNK,58009.0,59073.0,-,-,-,-,No Loop
87,120,SBST,1,TRUNK,10499.0,10499.0,11-12,12-15,12-13,12-16,Telok Blangah Hts
