,ServiceNo,Operator,max_distance,max_StopSequence,WD_FirstBus,WD_LastBus
0,10,SBST,31.9,74,0500,2300
1,100,SBST,23.6,55,0530,2345
2,100A,SBST,4.7,13,0639,1934
3,101,SBST,15.5,46,0515,2400
4,102,SBST,23.3,50,0545,2330
5,103,SBST,18.1,44,0600,0015
6,105,SBST,26.4,58,0545,2400
7,105B,SBST,5.5,14,0651,0719
8,106,TTS,22.3,50,0530,2330
9,106A,TTS,5.1,12,0641,0848
10,107,SBST,16.6,42,0530,1930
11,107M,SBST,26.3,70,1950,2315
12,109,SBST,22.1,51,0545,2330
13,109A,SBST,5.2,15,1810,2011
14,10e,SBST,16.9,30,0730,0814
15,11,SBST,10.5,23,0600,2330
16,110,SMRT,39.9,30,0530,2345
17,111,SBST,22.8,54,0600,2400
18,112,SBST,18.3,47,0515,2400
19,112A,SBST,4.9,12,0015,0030
20,113,SBST,16.7,44,0520,0010
21,113A,SBST,6.8,20,0631,1930
22,115,SBST,4.7,13,0715,1815
23,116,SBST,13.0,37,0545,2330
24,117,SBST,20.5,37,0545,2330
25,117A,SBST,3.3,8,0630,0643
26,117B,SBST,4.1,9,0706,0825
27,118,GAS,16.4,26,0545,2330
28,118A,GAS,13.1,16,0703,0803
29,118B,GAS,13.4,16,1608,1713
30,119,GAS,18.3,48,0500,2330
31,12,GAS,25.8,68,0530,2330
32,120,SBST,19.7,49,0555,2330
33,121,SBST,15.3,40,0555,2330
34,122,SBST,16.6,40,0555,2330
35,123,SBST,21.4,45,0545,2345
36,123M,SBST,10.6,25,0550,0005
37,124,SBST,18.6,48,0530,2400
38,125,SBST,17.9,51,0600,2300
39,125A,SBST,2.4,9,0727,0819
40,127,SBST,8.5,21,0530,2330
41,127A,SBST,1.5,5,2348,0045
42,128,SBST,19.4,44,0720,0735
43,129,SBST,20.7,35,0545,2330
44,12e,GAS,26.0,39,0600,2200
45,13,SBST,24.9,65,0535,2330
46,130,SBST,16.2,43,0530,2330
47,130A,SBST,3.1,7,1448,2218
48,131,SBST,20.6,50,0545,2330
49,131A,SBST,11.5,31,0646,0728
50,131M,SBST,4.2,10,0640,1940
51,132,SBST,24.5,57,0530,2330
52,133,SBST,18.0,44,0530,2345
53,134,SBST,14.1,39,0600,2345
54,135,SBST,33.3,82,0530,2235
55,135A,SBST,16.5,41,2248,2330
56,136,GAS,16.9,41,0545,2330
57,137,SBST,18.9,48,0600,2330
58,137A,SBST,4.3,11,0718,0807
59,138,SBST,27.3,59,0600,2345
60,138A,SBST,13.5,30,Doesnt run,Doesnt run
61,138B,SBST,2.8,9,1828,2053
62,139,SBST,17.6,46,0530,2400
63,139M,SBST,7.9,16,0535,2300
64,13A,SBST,2.1,6,0620,0935
65,14,SBST,34.3,79,0530,2345
66,140,SBST,8.4,23,0600,2330
67,141,SBST,9.6,28,0600,2330
68,142,SBST,8.4,21,0600,0005
69,142A,SBST,5.6,16,0628,0644
70,143,TTS,29.2,76,0530,2330
71,143M,TTS,9.7,28,0530,0105
72,145,SBST,21.5,54,0530,2400
73,145A,SBST,1.8,7,0715,0915
74,147,SBST,27.9,75,0530,2330
75,147A,SBST,16.3,47,0711,1003
76,147e,SBST,14.2,19,0730,2330
77,14A,SBST,20.1,50,Doesnt run,Doesnt run
78,14e,SBST,20.3,40,0725,0802
79,15,GAS,33.0,71,0545,2300
80,150,SBST,7.8,21,0600,2330
81,151,SBST,25.7,54,0545,2300
82,151e,SBST,25.7,53,0700,0730
83,153,SBST,20.5,45,0600,2400
84,154,SBST,33.8,74,0530,0020
85,154A,SBST,31.9,9,0604,0816
86,154B,SBST,14.6,32,0625,0747
87,155,SBST,22.0,56,0600,2400
88,156,SBST,26.0,64,0515,2330
89,157,SBST,25.6,58,0510,2330
90,158,SBST,25.4,68,0545,2330
91,158A,SBST,11.1,27,0641,0833
92,159,SBST,16.5,40,0530,2345
93,159A,SBST,8.0,25,0614,0906
94,159B,SBST,1.6,5,0638,0827
95,15A,GAS,12.8,26,0735,1000
96,16,SBST,21.8,49,0530,2345
97,160,SBST,48.7,84,0530,2400
98,160A,SBST,4.5,13,0605,2025
99,161,SBST,23.7,25,0545,2330
100,162,SBST,21.8,52,0530,1800
101,162M,SBST,39.0,97,1815,2330
102,163,SBST,19.6,51,0530,2330
103,163A,SBST,5.6,17,2346,0035
104,165,SBST,24.7,60,0530,2320
105,166,SBST,29.1,68,0530,2315
106,167,SMRT,30.4,70,0530,2330
107,167e,SMRT,30.6,37,0600,2200
108,168,SBST,30.8,26,0530,2330
109,169,SMRT,23.7,54,0530,2345
110,169A,SMRT,11.8,27,0701,0718
111,169B,SMRT,3.7,9,0702,0735
112,17,GAS,12.6,29,0545,0020
113,170,SBST,34.2,68,0520,0010
114,170A,SBST,23.5,62,0600,2400
115,170X,SBST,11.4,8,0537,2337
116,171,SMRT,34.3,73,0530,2330
117,172,SMRT,14.5,33,0530,2330
118,173,TTS,27.4,63,0530,2330
119,173A,TTS,2.9,8,2345,0100
120,174,SBST,29.0,69,0530,2330
121,174e,SBST,29.0,61,0652,0744
122,175,SBST,24.8,65,0600,2330
123,176,SMRT,22.9,61,0530,2335
124,177,TTS,11.9,27,0550,0840
125,178,SMRT,30.3,72,0530,2330
126,178A,SMRT,4.9,13,0538,0835
127,179,SBST,9.6,24,0600,2400
128,179A,SBST,9.6,24,0730,0930
129,17A,GAS,16.4,10,0615,0012
130,18,SBST,19.0,47,0505,2400
131,180,SMRT,21.4,48,0550,2345
132,180A,SMRT,11.1,26,1823,2345
133,181,SBST,6.2,18,0600,0030
134,181M,SBST,7.3,18,0630,0745
135,182,SBST,29.9,60,0545,2200
136,182M,SBST,29.1,59,0925,2315
137,183,TTS,22.6,57,0600,2330
138,183B,TTS,4.0,11,0718,0849
139,184,SMRT,22.6,55,0604,0009
140,185,SBST,18.4,37,0545,2315
141,186,SBST,18.3,46,0600,2400
142,187,SMRT,24.5,41,0520,2330
143,188,SMRT,22.2,57,0530,2300
144,188R,SMRT,23.8,28,Doesnt run,Doesnt run
145,188e,SMRT,22.0,37,0708,0723
146,189,TTS,16.4,31,0545,2315
147,189A,TTS,2.9,8,0703,0858
148,19,SBST,21.8,60,0530,2015
149,190,SMRT,23.2,35,0550,2330
150,190A,SMRT,18.7,23,0555,0746
151,191,SBST,7.5,20,0630,2010
152,192,SBST,14.1,33,0545,2330
153,193,SBST,16.3,43,0545,2330
154,194,SBST,9.0,18,0545,2345
155,195,SBST,28.6,70,0600,2330
156,195A,SBST,22.7,57,1532,1720
157,196,SBST,31.6,68,0530,2315
158,196A,SBST,15.7,34,0709,0709
159,196e,SBST,13.5,29,0756,0820
160,197,SBST,32.5,72,0530,2345
161,198,SBST,20.8,44,0530,2345
162,198A,SBST,4.7,13,1718,2018
163,199,SBST,11.1,27,0600,2400
164,1N,SBST,35.2,67,Doesnt run,Doesnt run
165,2,GAS,26.4,69,0520,2345
166,20,SBST,18.1,43,0600,2330
167,200,SBST,16.0,44,0600,2329
168,200A,SBST,8.2,23,2355,2355
169,201,SBST,17.4,39,0545,2330
170,21,SBST,27.4,67,0530,2400
171,21A,SBST,3.4,9,Doesnt run,Doesnt run
172,22,SBST,17.4,46,0530,2330
173,222,SBST,11.3,28,0505,0040
174,222A,SBST,3.9,10,0559,0700
175,222B,SBST,3.7,10,0700,1955
176,225,SBST,3.3,10,0515,0040
177,225G,SBST,3.2,10,0515,0040
178,225W,SBST,3.3,8,0515,2400
